"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",9.0063944,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",10.236651,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",11.212045,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",11.015853,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",9.9095736,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",8.2817068,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",7.1983204,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",7.5147748,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",6.9153972,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",5.8094506,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",5.3345251,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",5.1426649,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",4.6300397,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",4.2799125,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",3.6604199,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",3.2659097,
"DEU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",2.8517847,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",5.686646,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",6.061996,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",5.637989,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",5.1164112,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",4.5643196,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",4.5158067,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",5.2951193,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",9.7865953,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",11.228783,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",10.190528,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",9.0939903,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",8.2066641,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",7.2024288,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",6.0480661,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",5.6921043,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",4.8244696,
"USA","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",4.5728149,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2002",6.556883,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2003",6.5410677,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2004",6.5415498,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2005",6.2032407,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2006",5.3998555,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2007",4.8230391,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2008",4.8184678,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2009",7.4569669,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2010",8.323076,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2011",7.9289763,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2012",8.3562343,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2013",8.3572483,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2014",7.9911657,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2015",7.4695014,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2016",7.6405016,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2017",6.3382341,
"OAVG","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2018",5.7336883,
