"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",15.316512,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",18.005415,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",20.498941,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",20.146818,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",19.845667,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",17.99571,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",16.505592,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",16.732357,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",15.8973,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",13.904875,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",12.819253,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",12.471225,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",12.047767,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",11.352495,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",10.004822,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",9.1673222,
"DEU","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",8.5388823,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",10.184658,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",9.8916101,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",10.472992,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",9.0082312,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",8.2548494,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",8.4709682,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",10.056567,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",15.778392,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",16.820261,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",16.17053,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",14.279737,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",12.693604,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",10.560335,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",9.2215843,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",8.0993929,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",8.2531586,
"USA","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",6.6416121,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2002",10.749552,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2003",10.583824,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2004",10.809145,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2005",10.74014,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2006",9.7462357,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2007",8.8114169,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2008",8.9407599,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2009",12.433927,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2010",13.876292,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2011",13.6414,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2012",14.450309,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2013",14.177344,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2014",13.291964,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2015",12.405874,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2016",12.820594,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2017",10.469433,
"OAVG","UNEMPEDU","BUPPSRY","PC_25_64","A","2018",9.6104305,
